False_Positive_Rate,True_Positive_Rate,Threshold
0.0,0.0,inf
0.0010683760683760685,0.10526315789473684,1.0
0.002136752136752137,0.11578947368421053,0.9333333333333333
0.005341880341880342,0.20526315789473684,0.9305555555555556
0.008547008547008548,0.24210526315789474,0.896551724137931
0.008547008547008548,0.2736842105263158,0.8571428571428571
0.009615384615384616,0.2894736842105263,0.8214285714285714
0.009615384615384616,0.3736842105263158,0.797752808988764
0.009615384615384616,0.37894736842105264,0.75
0.029914529914529916,0.5157894736842106,0.591715976331361
0.0405982905982906,0.5842105263157895,0.4336283185840708
0.06303418803418803,0.6473684210526316,0.42696629213483145
0.06837606837606838,0.6631578947368421,0.4230769230769231
0.07264957264957266,0.6631578947368421,0.4
0.07585470085470085,0.6684210526315789,0.34782608695652173
0.0876068376068376,0.6842105263157895,0.2765957446808511
0.0876068376068376,0.6894736842105263,0.25
0.09081196581196581,0.7,0.2222222222222222
0.15384615384615385,0.7631578947368421,0.2182890855457227
0.2553418803418803,0.8526315789473684,0.14285714285714285
0.2767094017094017,0.8736842105263158,0.075
0.29273504273504275,0.8842105263157894,0.07142857142857142
0.31303418803418803,0.8947368421052632,0.03669724770642202
0.8247863247863247,0.9842105263157894,0.03649265078560568
0.8974358974358975,0.9894736842105263,0.003472222222222222
1.0,1.0,0.0
